Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
B.Des,Graphic Design,6.86,"Figma, Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,Graphic Designer
M.Tech,Computer Science,9.02,"Python, R, Scikit-learn, SQL","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
M.Tech,Computer Science,9.97,"TensorFlow, Computer Vision, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Human-Computer Interaction,7.83,"User Research, Figma","Creativity, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Tech,Mechanical Engineering,8.22,"AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,AI & ML,9.77,"TensorFlow, PyTorch, Python, Computer Vision, NLP","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Business Administration,8.01,"Digital Marketing, Google Analytics, Social Media Management","Communication, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Com,Finance,7.78,"Financial Modeling, Tableau, MS Excel, SQL","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,CFA,I prefer working alone,Visual,No,Yes,Financial Analyst
B.A.,Fine Arts,8.1,"Adobe Illustrator, Adobe Photoshop, Figma","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
B.Tech,Graphic Design,7.91,"Adobe XD, Figma, User Research, Sketch","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,Graphic Designer
B.Tech,Data Science,9.62,"Scikit-learn, SQL","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.A.,Graphic Design,6.92,"Adobe Photoshop, Figma, Adobe Illustrator","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Com,Finance,7.81,"Tableau, Financial Modeling, MS Excel","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Visual,No,No,Financial Analyst
Diploma,Mechanical Engineering,8.01,"SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Des,Fine Arts,8.76,"Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Ambivert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Mechanical Engineering,7.27,"MATLAB, AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Des,Fine Arts,7.84,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
Diploma,Mechanical Engineering,7.97,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,Computer Science,9.34,"SQL, TensorFlow","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Human-Computer Interaction,7.61,"Adobe XD, User Research, Sketch, Figma","Problem-Solving, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,Graphic Designer
B.Com,Finance,8.6,"MS Excel, Financial Modeling, Tableau, SQL","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,No Certification,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Des,Graphic Design,7.94,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,Graphic Designer
B.Tech,Computer Science,8.87,"Python, SQL, JavaScript","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Software Developer
B.Des,Human-Computer Interaction,8.62,"User Research, Adobe XD, Sketch","Empathy, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
MBA,Marketing,8.94,"Google Analytics, Social Media Management, SEO, Digital Marketing","Leadership, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.57,"Scikit-learn, TensorFlow, Python","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Tech,Human-Computer Interaction,8.96,"Sketch, User Research","Problem-Solving, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Com,Finance,8.64,"Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,CFA,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Tech,Computer Science,9.69,"Python, JavaScript, Git, SQL, Java","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,Software Developer
Diploma,Mechanical Engineering,7.95,"SolidWorks, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,9.06,"Git, Java, SQL, JavaScript","Teamwork, Problem-Solving",Introvert,8-12 LPA,No Certification,I like a mix of both,Visual,Maybe,No,Data Scientist
B.Tech,Human-Computer Interaction,9.17,"Figma, User Research","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
B.Tech,Computer Science,9.64,"Git, JavaScript, Java, SQL, Python","Teamwork, Problem-Solving",Introvert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Software Developer
BBA,Marketing,7.35,"Google Analytics, Social Media Management, Digital Marketing, SEO","Creativity, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Tech,Computer Science,8.1,"Git, SQL, Java","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
Diploma,Mechanical Engineering,8.56,"MATLAB, AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.Des,Graphic Design,8.71,"Sketch, User Research, Adobe XD","Problem-Solving, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Tech,Human-Computer Interaction,8.48,"Sketch, Figma","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Mechanical Engineering,7.66,"MATLAB, SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
B.A.,Fine Arts,8.28,"Adobe Photoshop, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,No,UI/UX Designer
B.Tech,Human-Computer Interaction,8.11,"User Research, Sketch, Figma","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
MBA,Finance,8.46,"Tableau, Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
B.Des,Human-Computer Interaction,8.23,"Figma, Sketch","Empathy, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Human-Computer Interaction,8.27,"User Research, Adobe XD, Figma","Creativity, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Tech,Graphic Design,8.94,"Adobe XD, Sketch, User Research, Figma","Creativity, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
MBA,Finance,8.94,"Tableau, MS Excel, SQL, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
B.Des,Human-Computer Interaction,8.74,"Adobe XD, Figma, Sketch","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
M.Tech,Data Science,9.21,"TensorFlow, Python","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Tech,Computer Science,8.89,"JavaScript, Python","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Software Developer
MBA,Marketing,8.41,"Google Analytics, SEO, Social Media Management","Creativity, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Com,Commerce,8.74,"MS Excel, Financial Modeling, SQL, Tableau","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
M.Tech,AI & ML,9.96,"NLP, Python, Computer Vision, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Des,Fine Arts,6.62,"Figma, Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
M.Tech,Computer Science,9.18,"NLP, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Business Administration,7.92,"Social Media Management, Digital Marketing, Google Analytics","Communication, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Social Media Manager
M.Tech,AI & ML,9.03,"TensorFlow, NLP, Python","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Business Administration,7.46,"Digital Marketing, SEO, Social Media Management","Communication, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
Diploma,Mechanical Engineering,8.91,"SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Human-Computer Interaction,8.04,"User Research, Figma","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Human-Computer Interaction,7.69,"Figma, Adobe XD, User Research","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
MBA,Finance,7.95,"SQL, Financial Modeling, MS Excel, Tableau","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.Tech,Computer Science,8.63,"SQL, Git, JavaScript, Java, Python","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Yes,No,Software Developer
B.Tech,Graphic Design,7.52,"Sketch, Figma, Adobe XD, User Research","Empathy, Problem-Solving",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
MBA,Commerce,9.05,"MS Excel, Financial Modeling, SQL, Tableau","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
MBA,Commerce,8.11,"Tableau, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
M.Tech,Computer Science,9.43,"NLP, Python, TensorFlow, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Fine Arts,8.27,"Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
B.Des,Graphic Design,8.99,"Figma, Sketch, Adobe XD","Empathy, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Des,Graphic Design,7.6,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Des,Fine Arts,7.72,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,Graphic Designer
B.Tech,Computer Science,8.14,"Python, SQL","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Tech,Graphic Design,8.16,"Figma, Adobe XD, User Research","Problem-Solving, Empathy",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,Graphic Designer
B.Des,Fine Arts,8.51,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,Yes,Graphic Designer
B.Tech,Computer Science,8.82,"Python, JavaScript, Java","Teamwork, Problem-Solving",Introvert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Tech,Data Science,9.64,"TensorFlow, Python, Scikit-learn, SQL, R","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Des,Human-Computer Interaction,7.73,"Adobe XD, Figma, Sketch, User Research","Empathy, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
MBA,Business Administration,7.6,"Digital Marketing, Google Analytics, Social Media Management","Communication, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Social Media Manager
B.Des,Graphic Design,6.56,"Figma, Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Visual,No,Yes,Graphic Designer
B.Com,Commerce,8.31,"SQL, Financial Modeling, MS Excel","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Business Analyst
M.Tech,AI & ML,9.3,"TensorFlow, Computer Vision, NLP, Python","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Data Science,8.87,"Scikit-learn, SQL, Python","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Graphic Design,7.66,"Sketch, Adobe XD, Figma","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
MBA,Finance,8.11,"MS Excel, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Com,Commerce,8.75,"Financial Modeling, SQL, Tableau","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Tech,Computer Science,8.82,"JavaScript, Git","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Com,Finance,8.88,"Tableau, Financial Modeling","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Des,Fine Arts,7.43,"Adobe Photoshop, Figma, Adobe Illustrator","Creativity, Attention to Detail",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
B.Tech,Computer Science,8.23,"Python, SQL","Problem-Solving, Teamwork",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Data Scientist
BBA,Marketing,7.73,"SEO, Digital Marketing, Google Analytics","Leadership, Communication",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
M.Tech,Computer Science,9.27,"R, SQL, TensorFlow","Problem-Solving, Critical Thinking",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,AI & ML,9.73,"NLP, Computer Vision, Python","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,7.63,"SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Des,Graphic Design,8.27,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,UI/UX Designer
